words,freq
the,0
to,0
ect,0
and,0
for,0
of,0
a,0
you,0
hou,0
in,0
on,0
is,0
this,0
enron,0
i,0
be,0
that,0
will,0
have,0
with,0
your,0
at,0
we,0
s,0
are,0
it,0
by,0
com,0
as,0
from,0
gas,0
or,0
not,0
me,0
deal,0
if,0
meter,0
hpl,0
please,0
re,0
e,0
any,0
our,0
corp,0
can,0
d,0
all,0
has,0
was,0
know,0
need,0
an,0
forwarded,0
new,0
t,0
may,0
up,0
j,0
mmbtu,0
should,0
do,0
am,0
get,0
out,0
see,0
no,0
there,0
price,0
daren,0
but,0
been,0
company,0
l,0
these,0
let,0
so,0
would,0
m,0
into,0
xls,0
farmer,0
attached,0
us,0
information,0
they,0
message,0
day,0
time,0
my,0
one,0
what,0
only,0
http,0
th,0
volume,0
mail,0
contract,0
which,0
month,0
more,0
robert,0
sitara,0
about,0
texas,0
nom,0
energy,0
pec,0
questions,0
www,0
deals,0
volumes,0
pm,0
ena,0
now,0
their,0
file,0
some,0
email,0
just,0
also,0
call,0
change,0
other,0
here,0
like,0
b,0
flow,0
net,0
following,0
p,0
production,0
when,0
over,0
back,0
want,0
original,0
them,0
below,0
o,0
ticket,0
c,0
he,0
could,0
make,0
inc,0
report,0
march,0
contact,0
were,0
days,0
list,0
nomination,0
system,0
who,0
april,0
number,0
sale,0
don,0
its,0
first,0
thanks,0
business,0
help,0
per,0
through,0
july,0
forward,0
font,0
free,0
daily,0
use,0
order,0
today,0
r,0
had,0
fw,0
set,0
plant,0
statements,0
go,0
gary,0
oil,0
line,0
sales,0
w,0
effective,0
well,0
tenaska,0
take,0
june,0
x,0
within,0
nbsp,0
she,0
how,0
north,0
america,0
being,0
under,0
next,0
week,0
than,0
january,0
last,0
two,0
service,0
purchase,0
name,0
less,0
height,0
off,0
agreement,0
k,0
work,0
tap,0
group,0
year,0
based,0
transport,0
after,0
think,0
made,0
each,0
available,0
changes,0
due,0
f,0
h,0
services,0
smith,0
send,0
management,0
stock,0
sent,0
ll,0
co,0
office,0
needs,0
cotten,0
did,0
actuals,0
u,0
money,0
before,0
looking,0
then,0
pills,0
online,0
request,0
look,0
desk,0
ami,0
his,0
same,0
george,0
chokshi,0
point,0
delivery,0
friday,0
does,0
size,0
august,0
product,0
pat,0
width,0
iv,0
noms,0
address,0
above,0
sure,0
give,0
october,0
future,0
find,0
market,0
n,0
mary,0
vance,0
melissa,0
said,0
internet,0
still,0
account,0
those,0
down,0
link,0
hsc,0
rate,0
people,0
pipeline,0
best,0
actual,0
very,0
end,0
home,0
houston,0
tu,0
high,0
her,0
team,0
products,0
many,0
currently,0
spot,0
receive,0
good,0
such,0
going,0
process,0
feb,0
monday,0
info,0
david,0
lloyd,0
again,0
both,0
click,0
subject,0
jackie,0
december,0
total,0
na,0
lisa,0
ve,0
september,0
hours,0
until,0
resources,0
because,0
aol,0
february,0
where,0
g,0
investment,0
issue,0
duke,0
since,0
pay,0
show,0
way,0
global,0
computron,0
further,0
most,0
place,0
offer,0
natural,0
activity,0
eastrans,0
graves,0
right,0
prices,0
date,0
john,0
utilities,0
november,0
clynes,0
jan,0
securities,0
meeting,0
susan,0
hplc,0
julie,0
able,0
received,0
align,0
term,0
id,0
revised,0
thursday,0
pg,0
fee,0
hplno,0
trading,0
additional,0
site,0
txu,0
data,0
wellhead,0
reply,0
taylor,0
news,0
unify,0
michael,0
provide,0
note,0
much,0
access,0
lannou,0
every,0
between,0
keep,0
tuesday,0
review,0
great,0
tom,0
put,0
done,0
long,0
save,0
section,0
must,0
v,0
part,0
nd,0
million,0
check,0
trade,0
bob,0
created,0
steve,0
prior,0
copy,0
continue,0
numbers,0
via,0
world,0
demand,0
hanks,0
contracts,0
phone,0
transaction,0
customer,0
possible,0
pefs,0
meyers,0
months,0
special,0
without,0
used,0
regarding,0
software,0
howard,0
support,0
buy,0
young,0
meters,0
thru,0
believe,0
gcs,0
cec,0
entered,0
control,0
dec,0
face,0
create,0
weissman,0
st,0
color,0
come,0
supply,0
brian,0
hplo,0
own,0
correct,0
customers,0
web,0
allocation,0
soon,0
using,0
development,0
mark,0
low,0
power,0
problem,0
once,0
however,0
tickets,0
border,0
performance,0
manager,0
rates,0
center,0
companies,0
risk,0
details,0
needed,0
international,0
field,0
even,0
someone,0
doc,0
fuel,0
lee,0
paid,0
while,0
start,0
index,0
include,0
nominations,0
act,0
pricing,0
scheduled,0
gathering,0
type,0
href,0
during,0
aimee,0
anything,0
feel,0
fuels,0
getting,0
advice,0
why,0
increase,0
path,0
sell,0
works,0
issues,0
three,0
enronxgate,0
camp,0
either,0
form,0
security,0
interest,0
financial,0
family,0
xp,0
plan,0
current,0
top,0
another,0
src,0
spreadsheet,0
allen,0
wednesday,0
read,0
him,0
working,0
wynne,0
add,0
deliveries,0
buyback,0
allocated,0
firm,0
james,0
marketing,0
tx,0
results,0
got,0
stocks,0
calpine,0
might,0
operations,0
position,0
logistics,0
fax,0
cost,0
party,0
zero,0
pops,0
old,0
pt,0
scheduling,0
flowed,0
dollars,0
update,0
gco,0
katy,0
including,0
follow,0
yahoo,0
already,0
suite,0
error,0
past,0
page,0
stop,0
changed,0
book,0
program,0
few,0
better,0
operating,0
equistar,0
move,0
cotton,0
aep,0
y,0
state,0
ees,0
rita,0
provided,0
employees,0
period,0
morning,0
cd,0
hotmail,0
entex,0
swing,0
real,0
exchange,0
tomorrow,0
lst,0
counterparty,0
parker,0
person,0
follows,0
valid,0
visit,0
little,0
professional,0
quality,0
confirm,0
something,0
megan,0
brenda,0
around,0
windows,0
im,0
storage,0
accounting,0
called,0
ranch,0
tax,0
problems,0
case,0
teco,0
fact,0
always,0
too,0
unsubscribe,0
amount,0
coastal,0
never,0
rodriguez,0
love,0
acton,0
shut,0
pipe,0
project,0
hope,0
limited,0
invoice,0
credit,0
full,0
survey,0
ray,0
carlos,0
anyone,0
wanted,0
yet,0
ic,0
scott,0
years,0
charlie,0
soft,0
notice,0
advise,0
addition,0
donald,0
lsk,0
wish,0
katherine,0
website,0
hplnl,0
schumack,0
prescription,0
cover,0
shares,0
cash,0
imbalance,0
united,0
handle,0
big,0
everyone,0
style,0
clear,0
producer,0
weekend,0
city,0
requested,0
stone,0
left,0
payment,0
mobil,0
shows,0
small,0
confirmed,0
technology,0
meet,0
extend,0
life,0
intended,0
sherlyn,0
schedule,0
else,0
letter,0
box,0
bill,0
richard,0
lamphier,0
complete,0
ever,0
release,0
newsletter,0
anita,0
clem,0
having,0
herod,0
beginning,0
papayoti,0
try,0
mike,0
enter,0
estimates,0
location,0
cut,0
question,0
things,0
personal,0
feedback,0
cialis,0
found,0
area,0
dow,0
terms,0
central,0
necessary,0
man,0
run,0
reason,0
third,0
midcon,0
charge,0
president,0
de,0
listed,0
meds,0
thomas,0
thought,0
capital,0
added,0
ask,0
weeks,0
investing,0
commercial,0
star,0
several,0
easy,0
view,0
cannot,0
extended,0
lauri,0
beaumont,0
union,0
times,0
open,0
cause,0
monthly,0
action,0
offers,0
industry,0
states,0
side,0
mailto,0
probably,0
neal,0
second,0
stephanie,0
download,0
flash,0
agree,0
mcf,0
transfer,0
doing,0
important,0
basis,0
different,0
final,0
koch,0
exxon,0
remove,0
microsoft,0
interested,0
application,0
sept,0
mg,0
write,0
lp,0
east,0
requirements,0
code,0
value,0
thank,0
together,0
exploration,0
mid,0
dfarmer,0
everything,0
receipt,0
thu,0
afternoon,0
late,0
enserch,0
coming,0
bank,0
response,0
tell,0
